time,site_names,counter,discharge,fountain_pressure,site_name,temperature,timestamp,water_temp,wind
2024-11-20 10:21:37.972000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,,0.0
2024-11-20 15:41:00.000000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,0.0,0.0
2024-11-20 15:41:00.000000000,ZK,2.0,0.0,110.3,ZK,3.3,2024-11-20 15:41,0.0,0.0
2024-11-21 04:31:16.479000000,Ay,2.0,0.0,110.1,Ay,1.5,2024-11-21 10:01,0.0,0.3
2024-11-21 04:52:09.950000000,Ay,2.0,0.0,110.2,Ay,2.3,2024-11-21 10:21,0.0,0.0
2024-11-21 05:05:57.649000000,Ig,1.0,0.0,87.0,Ig,-1.7,2024-11-21 10:30,-2.6,1.8
2024-11-21 05:10:16.736000000,Ay,2.0,0.0,110.7,Ay,1.7,2024-11-21 10:41,0.0,0.5
2024-11-21 05:20:44.945000000,Ig,2.0,0.0,87.3,Ig,-1.0,2024-11-21 10:50,3.4,2.0
2024-11-21 05:31:15.735000000,Ay,2.0,0.0,111.9,Ay,2.9,2024-11-21 11:01,0.0,0.1
2024-11-21 05:41:44.877000000,Ig,2.0,0.0,87.4,Ig,1.2,2024-11-21 11:10,3.8,0.5
2024-11-21 05:52:17.109000000,Ay,2.0,0.0,111.5,Ay,3.3,2024-11-21 11:21,0.0,0.4
2024-11-21 05:59:44.239000000,Ig,2.0,0.0,87.4,Ig,1.6,2024-11-21 11:30,4.0,1.8
2024-11-21 06:10:10.668000000,Ay,2.0,0.0,110.8,Ay,2.9,2024-11-21 11:41,0.0,1.5
2024-11-21 06:20:47.402000000,Ig,2.0,0.0,87.5,Ig,1.9,2024-11-21 11:50,4.0,1.3
2024-11-21 06:31:11.627000000,Ay,2.0,0.0,109.2,Ay,3.4,2024-11-21 12:01,0.0,0.0
2024-11-21 06:41:45.458000000,Ig,2.0,0.0,90.1,Ig,1.7,2024-11-21 12:10,4.0,2.8
2024-11-21 06:52:15.501000000,Ay,2.0,0.0,110.4,Ay,2.9,2024-11-21 12:21,0.0,1.2
2024-11-21 07:00:40.484000000,Ig,2.0,0.0,90.2,Ig,2.6,2024-11-21 12:30,4.2,2.2
2024-11-21 07:10:10.965000000,Ay,2.0,0.0,109.5,Ay,2.8,2024-11-21 12:41,0.0,0.9
2024-11-21 07:20:59.348000000,Ig,2.0,0.0,90.9,Ig,2.9,2024-11-21 12:50,4.2,2.3
2024-11-21 07:21:22.762000000,Ig,2.0,0.0,90.9,Ig,2.9,2024-11-21 12:50,4.2,2.3
2024-11-21 07:31:15.080000000,Ay,2.0,0.0,108.9,Ay,2.9,2024-11-21 13:01,0.0,0.6
2024-11-21 07:41:51.839000000,Ig,2.0,0.0,90.8,Ig,3.5,2024-11-21 13:10,4.3,1.4
2024-11-21 07:52:15.127000000,Ay,2.0,0.0,109.6,Ay,2.9,2024-11-21 13:21,0.0,0.2
2024-11-21 08:10:09.100000000,Ay,2.0,0.0,110.5,Ay,2.9,2024-11-21 13:41,0.0,0.5
2024-11-21 08:20:46.798000000,Ig,2.0,0.0,90.9,Ig,3.9,2024-11-21 13:50,4.2,1.6
2024-11-21 08:31:15.224000000,Ay,2.0,0.0,109.5,Ay,3.1,2024-11-21 14:01,0.0,0.0
2024-11-21 08:41:52.411000000,Ig,2.0,0.0,90.8,Ig,4.4,2024-11-21 14:10,4.2,1.9
2024-11-21 08:52:16.232000000,Ay,2.0,0.0,109.5,Ay,3.3,2024-11-21 14:21,0.0,0.8
2024-11-21 08:59:46.389000000,Ig,2.0,0.0,90.9,Ig,4.5,2024-11-21 14:30,4.0,1.4
2024-11-21 09:00:34.220000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,0.0,0.0
2024-11-21 09:10:15.830000000,Ay,2.0,0.0,111.0,Ay,3.3,2024-11-21 14:41,0.0,0.9
2024-11-21 09:12:10.330000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,0.0,0.0
2024-11-21 09:14:52.327000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,0.0,0.0
2024-11-22 04:44:32.181000000,Ay,2.0,0.0,110.3,Ay,3.3,2024-11-20 15:41,0.0,0.0
2024-11-22 11:39:02.921000000,ZK,2.0,0.0,110.3,ZK,3.3,2024-11-20 15:41,0.0,0.0
2024-11-22 11:40:03.132000000,ZK,2.0,0.0,110.3,ZK,3.3,2024-11-20 15:41,0.0,0.0
2024-11-22 11:40:33.029000000,Te,1.0,0.0,0.0,Te,8.1,2010-09-13 22:46,0.0,0.0
2024-11-22 11:45:38.143000000,Te,1.0,0.0,0.0,Te,8.2,2010-09-13 22:51,0.0,0.0
2024-11-22 11:52:15.809000000,Ay,2.0,0.0,105.6,Ay,3.6,2024-11-22 17:21,0.0,3.0
2024-11-22 11:56:58.550000000,Te,1.0,0.0,0.0,Te,8.2,2024-11-22 17:22,0.0,0.0
2024-11-22 12:08:47.112000000,Te,3.0,0.0,0.0,Te,8.2,2024-11-22 17:29,0.0,0.0
2024-11-22 12:09:09.685000000,Te,5.0,0.0,0.0,Te,8.9,2024-11-22 17:36,0.0,0.0
2024-11-22 12:10:15.352000000,Ay,2.0,0.0,104.6,Ay,3.6,2024-11-22 17:41,0.0,2.4
2024-11-22 12:20:43.643000000,Te,6.0,0.0,0.0,Te,10.0,2024-11-22 17:43,0.0,0.0
2024-11-22 12:23:45.081000000,Te,8.0,0.0,0.0,Te,10.5,2024-11-22 17:50,0.0,0.0
2024-11-22 12:31:14.853000000,Ay,2.0,0.0,105.3,Ay,3.5,2024-11-22 18:01,0.0,2.6
2024-11-22 12:35:44.353000000,Te,10.0,0.0,0.0,Te,10.0,2024-11-22 17:57,0.0,0.0
2024-11-22 12:36:07.404000000,Te,12.0,0.0,0.0,Te,9.5,2024-11-22 18:04,0.0,0.0
